submission_id,responder_id,group,stratum,pct_empirical_claims_Q4,value_driven,n_replies,word_count_sum,word_count_avg,flesch,mattr,empath_cognitive_processes,empath_positive_emotion,empath_negative_emotion,empath_politeness,empath_disputes,empath_certainty,empath_social,polite_gratitude,receptiveness
post_000001,dyad_000001,0,1,3,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000002,dyad_000002,1,1,1,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000003,dyad_000003,1,1,3,0,5.0,660.0,132.0,68.25287878787881,0.8172350230414713,0.15151515151515152,0.30303030303030304,0.7575757575757576,0.15151515151515152,0.9090909090909091,0.15151515151515152,0.15151515151515152,0.0,-0.571540423663669
post_000004,dyad_000004,0,1,2,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000005,dyad_000005,1,1,4,0,4.0,554.0,138.5,67.41684115523469,0.7975628626692468,0.18050541516245489,0.9025270758122743,0.7220216606498195,0.18050541516245489,0.18050541516245489,0.0,0.0,0.0,-0.12111372372641424
post_000006,dyad_000006,1,7,3,0,4.0,459.0,114.75,62.27410539215687,0.8186416861826682,0.4357298474945534,0.4357298474945534,0.2178649237472767,0.2178649237472767,0.6535947712418301,0.2178649237472767,0.2178649237472767,0.0,-0.549943483205781
post_000007,dyad_000007,1,7,4,0,1.0,55.0,55.0,66.63522727272728,0.828,3.6363636363636362,1.8181818181818181,1.8181818181818181,0.0,0.0,0.0,0.0,0.0,-0.0363641779832314
post_000008,dyad_000008,1,7,1,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000009,dyad_000009,0,7,3,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000009,dyad_000010,0,4,3,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000010,dyad_000011,1,7,2,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000011,dyad_000012,0,7,4,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000012,dyad_000013,1,7,2,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000013,dyad_000014,1,1,3,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000014,dyad_000015,0,7,4,0,2.0,274.0,137.0,58.920480535279836,0.786167400881058,1.094890510948905,0.36496350364963503,0.0,0.0,1.824817518248175,0.0,0.0,0.0,-0.2928089979070685
post_000015,dyad_000016,0,1,1,1,2.0,58.0,29.0,76.52715789473686,0.7430769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2775540024218655
post_000016,dyad_000017,1,6,1,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000017,dyad_000018,0,1,4,0,1.0,25.0,25.0,,0.88,4.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,-0.298982104048234
post_000018,dyad_000019,1,1,3,0,2.0,103.0,51.5,59.436679611650504,0.8953571428571435,0.9708737864077669,0.9708737864077669,1.9417475728155338,0.0,0.9708737864077669,0.0,0.0,0.0,-0.19860096674678282
post_000018,dyad_000020,0,1,3,0,1.0,117.0,117.0,55.442500000000024,0.8566666666666671,0.8547008547008548,0.0,0.0,0.0,0.0,0.8547008547008548,0.8547008547008548,0.0,-0.177224151264738
post_000019,dyad_000021,1,1,1,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000020,dyad_000022,0,1,2,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000021,dyad_000023,1,2,3,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000018,dyad_000024,0,1,3,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000022,dyad_000025,1,1,2,1,1.0,116.0,116.0,59.907894736842124,0.7879411764705886,0.8620689655172413,0.0,0.0,0.0,0.8620689655172413,0.0,0.8620689655172413,0.0,0.490581435687504
post_000022,dyad_000026,0,1,2,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000022,dyad_000027,1,1,2,1,1.0,42.0,42.0,20.780975609756126,0.8088888888888891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.275836920901529
post_000021,dyad_000028,1,1,3,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000022,dyad_000029,1,1,2,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000023,dyad_000030,1,1,4,0,2.0,154.0,77.0,57.64661764705885,0.8344954128440366,0.0,0.0,0.6493506493506493,0.0,1.2987012987012987,0.0,0.0,0.0,-0.23049699972766455
post_000023,dyad_000031,0,1,4,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000024,dyad_000032,0,1,3,0,1.0,128.0,128.0,65.6778125,0.8362025316455695,0.0,0.0,0.0,0.0,0.78125,0.0,1.5625,1.0,-0.205829393390214
post_000025,dyad_000033,1,1,2,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000021,dyad_000034,1,1,3,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000026,dyad_000035,1,1,1,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000027,dyad_000036,1,1,1,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000028,dyad_000037,1,1,2,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000029,dyad_000038,1,1,4,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000018,dyad_000039,0,1,3,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000025,dyad_000040,0,1,2,1,1.0,64.0,64.0,64.89104166666668,0.84625,0.0,0.0,1.5625,0.0,0.0,0.0,0.0,0.0,-0.298459494286461
post_000030,dyad_000041,0,1,3,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000031,dyad_000042,1,1,3,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000032,dyad_000043,0,7,4,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000033,dyad_000044,1,2,3,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000034,dyad_000045,1,6,1,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000035,dyad_000046,1,1,2,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000036,dyad_000047,1,1,1,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000030,dyad_000048,1,1,3,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000037,dyad_000049,1,1,2,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000038,dyad_000050,1,1,4,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000037,dyad_000051,1,1,2,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000035,dyad_000052,1,1,2,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000039,dyad_000053,0,1,2,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000040,dyad_000054,0,1,4,0,1.0,79.0,79.0,56.954767932489474,0.7353333333333332,0.0,2.5316455696202533,0.0,0.0,0.0,0.0,0.0,0.0,-0.0717617684785209
post_000041,dyad_000055,0,1,1,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000042,dyad_000056,1,1,2,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000043,dyad_000057,0,1,1,1,2.0,152.0,76.0,80.64778947368424,0.6953398058252425,0.0,0.0,1.3157894736842104,0.0,0.0,0.0,0.0,0.0,-0.3596719560563975
post_000044,dyad_000058,0,1,2,1,1.0,9.0,9.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.155731611673976
post_000045,dyad_000059,0,1,3,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000046,dyad_000060,1,1,2,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000047,dyad_000061,0,1,1,1,1.0,26.0,26.0,,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0076801472433052
post_000048,dyad_000062,0,1,3,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000049,dyad_000063,1,1,3,0,1.0,41.0,41.0,45.54195121951224,0.955294117647059,2.4390243902439024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.293347242900473
post_000050,dyad_000064,1,1,2,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000051,dyad_000065,1,1,3,0,3.0,75.0,25.0,71.77245945945948,0.7638095238095239,0.0,1.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,-0.27007019297823903
post_000052,dyad_000066,1,1,1,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000053,dyad_000067,0,1,3,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000054,dyad_000068,0,1,4,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000055,dyad_000069,0,1,3,0,1.0,13.0,13.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.321277526911935
post_000056,dyad_000070,0,1,2,1,2.0,171.0,85.5,74.21644736842106,0.8132786885245906,0.0,0.5847953216374269,0.5847953216374269,0.0,0.0,0.5847953216374269,0.5847953216374269,0.0,-0.24573411634821252
post_000057,dyad_000071,0,1,1,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000058,dyad_000072,0,7,1,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000059,dyad_000073,0,1,2,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000060,dyad_000074,0,1,1,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000052,dyad_000075,1,2,1,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000061,dyad_000076,0,2,2,1,1.0,40.0,40.0,85.4366666666667,0.9388235294117648,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,-0.223209049733322
post_000053,dyad_000077,1,1,3,0,4.0,869.0,217.25,53.18731314878896,0.8149939246658551,0.23014959723820483,1.380897583429229,0.46029919447640966,0.0,0.9205983889528193,0.0,0.46029919447640966,0.5,-0.1425592244536668
post_000062,dyad_000078,1,1,1,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000063,dyad_000079,0,1,2,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000064,dyad_000080,1,1,4,0,2.0,461.0,230.5,58.120011441647605,0.7900726392251806,0.0,1.0845986984815619,0.6507592190889371,0.0,0.8676789587852495,0.0,0.21691973969631237,0.0,0.04390316748173399
post_000065,dyad_000081,0,1,2,1,2.0,51.0,25.5,70.14470588235295,0.85,0.0,0.0,0.0,0.0,1.9607843137254901,0.0,0.0,0.0,-0.2016565101232295
post_000066,dyad_000082,1,1,2,1,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000067,dyad_000083,0,1,3,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
post_000068,dyad_000084,1,6,4,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
